course ID, name, length, teacher, possible days, possible start time
A203,Advanced Optics,240,Nic Chormaic,2,780
A203,Advanced Optics,120,Nic Chormaic,,
A203,Advanced Optics,60,Nic Chormaic,2,660
A208,Bioorganic Chemistry,120,Tanaka,,
A208,Bioorganic Chemistry,180,Tanaka,,
A210,Advanced Quantum Mechanics,120,Busch,,
A210,Advanced Quantum Mechanics,60,Busch,,
A214,Nucleic Acid Chemistry and Engineering,120,Yokobayashi,0,
A214,Nucleic Acid Chemistry and Engineering,120,Yokobayashi,2,
A217,Quantum Mechanics II,120,Konstantinov,0;1;2,
A217,Quantum Mechanics II,120,Konstantinov,3;4,
A218,Condensed Matter,120,Feng,,
A218,Condensed Matter,120,Feng,,
A222,Theoretical Condensed Matter Physics,120,Pauly,,
A222,Theoretical Condensed Matter Physics,120,Pauly,,
A303,Develop\-mental Biology,120,Masai,1;2;3;4,
A307,Molecular Oncology and Cell Signaling,120,Yamamoto,2,
A307,Molecular Oncology and Cell Signaling,60,Yamamoto,2,
A310,Computa\-tional Neuroscience,120,De Schutter,,
A310,Computa\-tional Neuroscience,60,De Schutter,,
A311,Cellular Aging and Human Longevity,120,Yanagida,,
A407,Special Topics,120,Bandi,,
A407,Special Topics,120,Bandi,,
A410,Molecular Electron Tomography,60,Skoglund,,
A410,Molecular Electron Tomography,180,Skoglund,,
B07,Statistical Methods,120,Doya,1,
B07,Statistical Methods,120,Doya,3,
B08,Physics for Life Sciences,180,Kuhn,,
B08,Physics for Life Sciences,60,Kuhn,,
B08,Physics for Life Sciences,60,Kuhn,,
B11,Classical Electrodynamics,120,Shintake,,
B16,Ecology and Evolution,120,Economo,,
B16,Ecology and Evolution,120,Economo,,
SC,Skill Clinic,90,Gillet,1,960
JP1,Japanese 1,60,Yamakawa,0,960
JP1,Japanese 1,60,Yamakawa,2,960
PD1,Professional Development 1,240,Skoglund,4,780
PD2,Professional Development 2,240,Arbuthnott,4,780
SA,Student Activities,60,\,4,780
ST,Special Topics in Mathematics,120,Tsvietkova,,
