Day,Start time,End time,Course ID,Room
Monday,10:00,12:00,A203,B711
Monday,13:00,16:00,B08,B700
Monday,13:00,15:00,A214,B711
Monday,15:00,16:00,A210,B712
Monday,16:00,17:00,JP1,C600
Tuesday,10:00,12:00,B16,B712
Tuesday,10:00,12:00,B12,B700
Tuesday,10:00,12:00,B09,B715
Tuesday,13:00,14:00,B08,B700
Tuesday,13:00,16:00,A208,B715
Tuesday,13:00,16:00,B11,B714a
Tuesday,13:00,15:00,A310,B711
Tuesday,14:00,16:00,B04,B657a (Lab 2)
Tuesday,14:00,16:00,A212,B700
Tuesday,16:00,17:30,SC,
Wednesday,9:00,11:00,A210,B712
Wednesday,9:00,10:30,B18,B700
Wednesday,9:00,11:00,A214,B711
Wednesday,11:00,12:00,A307,B715
Wednesday,11:00,12:00,A203,B711
Wednesday,13:00,15:00,A307,B715
Wednesday,14:00,18:00,A203,B507
Wednesday,16:00,17:00,JP1,C600
Thursday,9:00,11:00,B16,B712
Thursday,9:00,11:00,A311,B711
Thursday,10:00,11:00,B08,B700
Thursday,11:00,12:00,B04,B657a (Lab 2)
Thursday,11:00,12:00,A310,B711
Thursday,13:00,15:00,A208,B715
Thursday,13:00,14:00,B12,B700
Thursday,14:00,16:00,A212,B700
Friday,9:00,11:00,A303,B711
Friday,9:00,10:30,B18,B700
Friday,10:00,12:00,B09,B715
Friday,11:00,12:00,B12,B700
Friday,14:00,17:00,PD1,B700
Friday,14:00,17:00,PD2,C700
