Day,Start time,End time,Course ID,Room
Monday,9:00,10:00,A206,B714a
Monday,10:00,12:00,B21,B712
Monday,10:00,12:00,A306,B701
Monday,11:00,12:00,A209,B715
Monday,13:00,16:00,A206,B711
Monday,13:00,15:00,A306,B701
Monday,16:00,17:00,JP1,B715
Tuesday,10:00,12:00,B22,B714a
Tuesday,13:00,15:00,B21,B712
Tuesday,13:00,15:00,A209,B715
Tuesday,15:30,17:00,SC,B700
Wednesday,9:00,10:00,A206,B712
Wednesday,10:00,12:00,B10,B712
Wednesday,13:00,16:00,A206,B712
Wednesday,13:00,15:00,A216,B714a
Wednesday,13:00,16:00,A401,B701
Wednesday,16:00,17:00,JP1,B715
Thursday,10:00,12:00,B22,B714a
Thursday,13:00,15:00,B10,B712
Friday,10:00,12:00,A216,B714a
Friday,13:00,14:00,SA,B715
Friday,14:00,16:00,PD2,B712
Friday,14:00,16:00,PD1,B711
