Day,Start time,End time,Course ID,Room
Monday,10:00,12:00,A405,B700
Monday,10:00,12:00,A219,B712
Monday,10:00,12:00,B14,B714a
Monday,13:00,15:00,A405,B700
Monday,14:00,16:00,B13,B711
Monday,13:00,16:00,B05,B715/Lab
Monday,16:00,17:00,JP1,C600
Tuesday,10:00,12:00,B20,B700
Tuesday,10:00,12:00,A103,B711
Tuesday,10:00,12:00,A219,B712
Tuesday,10:00,12:00,A409,B714a
Tuesday,10:00,12:00,B05,B715
Tuesday,13:00,15:00,A101,B700
Tuesday,13:00,15:00,B23,B711
Tuesday,13:00,15:00,B15,B712
Tuesday,13:00,15:00,A202,B714a
Tuesday,13:00,16:00,A215,B715/B507
Tuesday,16:00,17:30,SC,B700
Wednesday,10:00,12:00,A304,B700
Wednesday,10:00,12:00,A205,B712
Wednesday,10:00,12:00,B14,B714a
Wednesday,13:00,16:00,A304,B700
Wednesday,13:00,16:00,A409,B711
Wednesday,13:00,15:00,A312,B714a
Wednesday,13:00,16:00,A215,B715/B507
Wednesday,16:00,17:00,JP1,C600
Thursday,10:00,12:00,B23,B711
Thursday,10:00,12:00,B15,B712
Thursday,10:00,12:00,A218,B715
Thursday,13:00,15:00,A101,B700
Thursday,14:00,16:00,B13,B711
Thursday,14:00,16:00,A308,B712
Thursday,13:00,15:00,A202,B714a
Friday,10:00,12:00,B20,B700
Friday,10:00,12:00,A103,B711
Friday,10:00,12:00,A308,B712
Friday,10:00,12:00,A312,B714a
Friday,10:00,12:00,A218,B715
Friday,13:00,14:00,SA,B700
Friday,14:00,16:00,PD1,B700
Friday,14:00,16:00,PD2,C700
