Day,Start time,End time,Course ID,Room
Monday,9:00,12:00,A409,L4F15
Monday,10:00,11:00,A224,L4E01
Monday,10:00,12:00,B23,B712
Monday,10:00,12:00,A212,B702
Monday,10:00,12:00,A306,B714a
Monday,10:00,12:00,A317,B700
Monday,13:00,15:00,A310,B714a
Monday,13:00,15:00,A308,B711/B506
Monday,13:00,15:00,A315,B700
Monday,13:00,14:30,ST1,B712
Monday,14:00,16:00,B34,L4F15
Monday,15:00,16:00,A314,B711
Monday,16:00,17:00,JP1,C600
Monday,15:00,17:00,B15,B700
Monday,15:00,17:00,B14,B712
Monday,15:00,17:00,A227,B701
Tuesday,10:00,12:00,A409,L4F15
Tuesday,10:00,12:00,A103,B700
Tuesday,10:00,12:00,B35,L4E01
Tuesday,13:00,15:00,B21,B712
Tuesday,13:00,15:00,A106,B711
Tuesday,13:00,15:00,A209,L4F15/B507
Tuesday,13:00,15:00,A318,B700
Tuesday,15:00,17:00,A223,B711
Tuesday,15:00,17:00,A316,L4F15
Tuesday,15:00,17:00,B15,B700
Tuesday,15:00,17:00,A226,B712/B506
Wednesday,10:00,12:00,B21,B712
Wednesday,10:00,12:00,A212,B702
Wednesday,10:00,12:00,A304,L4F15
Wednesday,10:00,11:00,A224,L4E01
Wednesday,11:00,12:00,A314,B711
Wednesday,13:00,14:30,ST3,L4E01
Wednesday,13:00,15:00,A205,B714b
Wednesday,13:00,16:00,A304,L4F15
Wednesday,13:00,17:30,A314,B506
Wednesday,15:00,17:00,B14,B712
Wednesday,15:00,17:00,A223,B711
Wednesday,16:00,17:00,JP1,C600
Thursday,10:00,12:00,A103,B700
Thursday,10:00,12:00,A209,L4F15/B507
Thursday,10:00,12:00,B35,L4E01
Thursday,10:00,11:30,ST2,B711
Thursday,13:00,17:00,A226,B506
Thursday,13:00,16:00,A306,Unit Lab
Thursday,13:00,15:00,A106,B711
Thursday,13:00,15:00,B23,B712
Thursday,13:00,15:00,A315,B700
Thursday,14:00,16:00,B34,L4F15
Thursday,15:00,16:00,A310,B714a
Thursday,15:00,17:00,A318,B700
Thursday,15:00,17:00,A227,B701
Friday,9:00,11:00,A311,B714a
Friday,10:00,12:00,A308,B711/B506
Friday,10:00,12:00,A316,L4F15
Friday,10:00,12:00,A317,B700
Friday,10:00,11:00,A224,L4E01
Friday,14:00,16:00,PCD1,B700
Friday,14:00,16:00,PCD2,C700
